ID,Width,Height,Depth,TemporalPooling,Epochs,Seed,SpatialPooling,AvgClassificationRate,AvgDeviation
17475154123,3,3,5,3,800,42,8,65.7573,4.8887
17475154163,3,3,5,3,800,44,8,65.9604,5.5856
17475154123,3,3,5,3,800,45,8,65.3442,4.638
17475154163,3,3,5,3,800,59,8,65.935,8.1055
17475154123,3,3,5,3,800,93,8,65.8929,8.9442
17475154123,3,3,5,3,800,96,8,67.3558,6.7631
17475154163,3,3,5,3,800,98,8,66.9245,2.8843
17475210613,5,5,2,2,800,6,8,63.2523,7.0779
17475210613,5,5,2,2,800,13,8,65.1526,5.3676
17475154163,5,5,2,2,800,42,8,67.5082,6.3193
17475210633,5,5,2,2,800,44,8,64.6873,7.4687
17475210623,5,5,2,2,800,45,8,67.1907,6.2787
17475210633,5,5,2,2,800,59,8,66.7121,4.2585
17475210623,5,5,2,2,800,93,8,69.5133,7.0701
17475210613,5,5,2,2,800,96,8,64.8375,3.6042
17475210633,5,5,2,2,800,98,8,68.573,4.3058
17475213793,5,5,2,3,800,6,8,67.8918,3.904
17475210633,5,5,2,3,800,13,8,69.2346,4.3284
17475210633,5,5,2,3,800,42,8,70.6106,7.487
17475213793,5,5,2,3,800,44,8,68.711,4.2524
17475213793,5,5,2,3,800,45,8,71.1823,5.7498
17475213793,5,5,2,3,800,59,8,70.6428,3.0103
17475213793,5,5,2,3,800,93,8,70.9408,8.2795
17475213793,5,5,2,3,800,96,8,69.9099,5.1445
17475213793,5,5,2,3,800,98,8,72.6865,3.8445
17475213843,5,5,2,4,800,6,8,65.4553,5.0823
17475213793,5,5,2,4,800,13,8,66.7829,5.7168
17475213793,5,5,2,4,800,42,8,68.9277,5.8213
17475241713,5,5,2,4,800,44,8,66.2397,6.8135
17475213843,5,5,2,4,800,45,8,70.1933,4.3682
17475213843,5,5,2,4,800,59,8,68.694,3.854
17475213793,5,5,2,4,800,93,8,69.2879,7.8528
17475213843,5,5,2,4,800,96,8,66.6077,3.0227
17475213843,5,5,2,4,800,98,8,70.5033,4.1688
17475241833,5,5,2,5,800,6,8,54.5035,5.7081
17475241713,5,5,2,5,800,13,8,57.0846,5.778
17475241713,5,5,2,5,800,42,8,58.472,5.4755
17475241833,5,5,2,5,800,44,8,56.0216,3.1437
17475241713,5,5,2,5,800,45,8,58.6402,5.2124
17475241833,5,5,2,5,800,59,8,59.615,6.515
17475241713,5,5,2,5,800,93,8,56.8498,8.3271
17475241833,5,5,2,5,800,96,8,55.6007,5.8285
17475241833,5,5,2,5,800,98,8,58.7866,3.4429
17475241903,5,5,3,2,800,6,8,64.5003,5.1143
17475241853,5,5,3,2,800,13,8,67.8027,4.7141
17475241853,5,5,3,2,800,42,8,66.1113,9.164
17475241903,5,5,3,2,800,44,8,67.2465,6.1174
17475241853,5,5,3,2,800,45,8,66.6068,3.5168
17475241903,5,5,3,2,800,59,8,68.2873,4.3294
17475241853,5,5,3,2,800,93,8,68.6763,7.2645
17475241853,5,5,3,2,800,96,8,66.4809,5.0728
17475241903,5,5,3,2,800,98,8,69.0482,5.0671
17475241883,5,5,3,3,800,6,8,60.2909,6.6947
17475241883,5,5,3,3,800,13,8,60.995,5.3073
17475241903,5,5,3,3,800,42,8,61.8469,7.1403
17475269993,5,5,3,3,800,44,8,61.1504,6.6543
17475241883,5,5,3,3,800,45,8,60.7533,7.0407
17475269993,5,5,3,3,800,59,8,64.0323,3.9973
17475241883,5,5,3,3,800,93,8,61.1419,7.4054
17475241883,5,5,3,3,800,96,8,59.2677,3.4315
17475269993,5,5,3,3,800,98,8,62.4678,5.3959
17475270143,5,5,3,4,800,6,8,66.7002,4.221
17475269993,5,5,3,4,800,13,8,68.0908,5.3245
17475269993,5,5,3,4,800,42,8,68.1039,7.1982
17475270163,5,5,3,4,800,44,8,69.2987,4.7105
17475270143,5,5,3,4,800,45,8,69.6946,4.1534
17475270163,5,5,3,4,800,59,8,69.8433,3.2089
17475270143,5,5,3,4,800,93,8,70.376,7.4919
17475270143,5,5,3,4,800,96,8,68.2154,4.8088
17475270143,5,5,3,4,800,98,8,71.8213,5.2191
17475270173,5,5,4,2,800,6,8,59.6827,5.9191
17475270163,5,5,4,2,800,13,8,61.9928,3.918
17475270163,5,5,4,2,800,42,8,63.313,7.5698
17475270173,5,5,4,2,800,44,8,61.6648,6.1179
17475270173,5,5,4,2,800,45,8,60.8466,4.403
17475270173,5,5,4,2,800,59,8,63.7798,4.7431
17475270163,5,5,4,2,800,93,8,61.5227,7.2925
17475270173,5,5,4,2,800,96,8,60.0561,5.8128
17475270173,5,5,4,2,800,98,8,63.7722,5.2842
