ID,Width,Height,Depth,TemporalPooling,Epochs,Seed,SpatialPooling,AvgClassificationRate,AvgDeviation
17477697403,7,7,4,3,800,59,8,66.2754,5.2228
17477697223,7,7,4,3,800,93,8,66.9994,4.8994
17477697223,7,7,4,3,800,96,8,63.2152,8.6568
17477697403,7,7,4,3,800,98,8,66.1554,6.0488
17477697353,7,7,5,2,800,6,8,62.6578,7.393
17477697353,7,7,5,2,800,13,8,63.9156,5.9192
17477697403,7,7,5,2,800,42,8,66.8912,8.3031
17477699383,7,7,5,2,800,44,8,63.946,4.3103
17477697353,7,7,5,2,800,45,8,67.0698,5.4668
17477699383,7,7,5,2,800,59,8,65.9832,6.4818
17477697353,7,7,5,2,800,93,8,65.819,5.194
17477697353,7,7,5,2,800,96,8,64.0661,6.12
17477699383,7,7,5,2,800,98,8,65.1062,6.7361
17477732883,7,7,5,3,800,6,8,63.4305,7.2676
17477699383,7,7,5,3,800,13,8,65.5827,5.4379
17477699383,7,7,5,3,800,42,8,67.4993,9.2681
17478267633,7,7,5,3,800,44,8,65.0317,3.885
17477732883,7,7,5,3,800,45,8,66.8178,5.5331
17478352113,7,7,5,3,800,59,8,67.1078,6.0864
17477732883,7,7,5,3,800,93,8,67.1649,5.4371
17477732883,7,7,5,3,800,96,8,64.5757,6.1468
17477732883,7,7,5,3,800,98,8,65.7312,6.1111
